clip_id,project,violence_typology,tier,duration_seconds,speaker_ids,voice_families,has_violence,max_intensity,quality_flags,split,wav_path,strong_labels_path
sp_it_a_0001_00,she_proves,IT,A,143.784125,AGG_M_30-45_001|VIC_F_25-40_002,he-IL-AvriNeural|he-IL-HilaNeural,True,5,emotion_downgrade,train,data/he/agg_m_30-45_001/sp_it_a_0001_00.wav,data/he/agg_m_30-45_001/sp_it_a_0001_00.jsonl
sp_it_a_0002_00,she_proves,IT,A,139.6495,AGG_M_30-45_001|VIC_F_25-40_002,he-IL-AvriNeural|he-IL-HilaNeural,True,5,emotion_downgrade,train,data/he/agg_m_30-45_001/sp_it_a_0002_00.wav,data/he/agg_m_30-45_001/sp_it_a_0002_00.jsonl
sp_neg_a_0001_00,she_proves,NEG,A,118.7664375,AGG_M_30-45_001|VIC_F_25-40_002,he-IL-AvriNeural|he-IL-HilaNeural,False,3,emotion_downgrade,train,data/he/agg_m_30-45_001/sp_neg_a_0001_00.wav,data/he/agg_m_30-45_001/sp_neg_a_0001_00.jsonl
sp_neg_a_0002_00,she_proves,NEG,A,107.8110625,AGG_M_30-45_001|VIC_F_25-40_002,he-IL-AvriNeural|he-IL-HilaNeural,False,3,emotion_downgrade,train,data/he/agg_m_30-45_001/sp_neg_a_0002_00.wav,data/he/agg_m_30-45_001/sp_neg_a_0002_00.jsonl
sp_neg_a_0003_00,she_proves,NEG,A,146.2683125,AGG_M_30-45_001|VIC_F_25-40_002,he-IL-AvriNeural|he-IL-HilaNeural,False,2,emotion_downgrade,train,data/he/agg_m_30-45_001/sp_neg_a_0003_00.wav,data/he/agg_m_30-45_001/sp_neg_a_0003_00.jsonl
sp_neu_a_0001_00,she_proves,NEU,A,119.19225,AGG_M_30-45_001|VIC_F_25-40_002,he-IL-AvriNeural|he-IL-HilaNeural,False,2,,train,data/he/agg_m_30-45_001/sp_neu_a_0001_00.wav,data/he/agg_m_30-45_001/sp_neu_a_0001_00.jsonl
sp_neu_a_0002_00,she_proves,NEU,A,129.0075625,AGG_M_30-45_001|VIC_F_25-40_002,he-IL-AvriNeural|he-IL-HilaNeural,False,2,,train,data/he/agg_m_30-45_001/sp_neu_a_0002_00.wav,data/he/agg_m_30-45_001/sp_neu_a_0002_00.jsonl
sp_neu_a_0003_00,she_proves,NEU,A,105.072875,AGG_M_30-45_001|VIC_F_25-40_002,he-IL-AvriNeural|he-IL-HilaNeural,False,2,,train,data/he/agg_m_30-45_001/sp_neu_a_0003_00.wav,data/he/agg_m_30-45_001/sp_neu_a_0003_00.jsonl
sp_sv_a_0001_00,she_proves,SV,A,110.4551875,AGG_M_30-45_001|VIC_F_25-40_002,he-IL-AvriNeural|he-IL-HilaNeural,True,5,emotion_downgrade,train,data/he/agg_m_30-45_001/sp_sv_a_0001_00.wav,data/he/agg_m_30-45_001/sp_sv_a_0001_00.jsonl
sp_sv_a_0002_00,she_proves,SV,A,92.0704375,AGG_M_30-45_001|VIC_F_25-40_002,he-IL-AvriNeural|he-IL-HilaNeural,True,5,emotion_downgrade,train,data/he/agg_m_30-45_001/sp_sv_a_0002_00.wav,data/he/agg_m_30-45_001/sp_sv_a_0002_00.jsonl
sp_it_a_0003_00,she_proves,IT,A,113.8649375,AGG_M_30-45_002|VIC_F_25-40_003,he-IL-Chirp3-HD-Achird|he-IL-Chirp3-HD-Achernar,True,5,emotion_downgrade,train,data/he/agg_m_30-45_002/sp_it_a_0003_00.wav,data/he/agg_m_30-45_002/sp_it_a_0003_00.jsonl
sp_sv_a_0003_00,she_proves,SV,A,100.6418125,AGG_M_30-45_002|VIC_F_25-40_003,he-IL-Chirp3-HD-Achird|he-IL-Chirp3-HD-Achernar,True,5,emotion_downgrade,train,data/he/agg_m_30-45_002/sp_sv_a_0003_00.wav,data/he/agg_m_30-45_002/sp_sv_a_0003_00.jsonl
el_it_b_0001_00,elephant_in_the_room,IT,B,149.9894375,BEN_M_40-55_003|SW_F_30-45_001,he-IL-AvriNeural|he-IL-HilaNeural,True,5,emotion_downgrade,train,data/he/ben_m_40-55_003/el_it_b_0001_00.wav,data/he/ben_m_40-55_003/el_it_b_0001_00.jsonl
el_it_b_0002_00,elephant_in_the_room,IT,B,151.612375,BEN_M_40-55_003|SW_F_30-45_001,he-IL-AvriNeural|he-IL-HilaNeural,True,5,emotion_downgrade,train,data/he/ben_m_40-55_003/el_it_b_0002_00.wav,data/he/ben_m_40-55_003/el_it_b_0002_00.jsonl
el_neg_b_0001_00,elephant_in_the_room,NEG,B,113.786625,BEN_M_40-55_003|SW_F_30-45_001,he-IL-AvriNeural|he-IL-HilaNeural,False,3,emotion_downgrade,train,data/he/ben_m_40-55_003/el_neg_b_0001_00.wav,data/he/ben_m_40-55_003/el_neg_b_0001_00.jsonl
el_neg_b_0002_00,elephant_in_the_room,NEG,B,174.6241875,BEN_M_40-55_003|SW_F_30-45_001,he-IL-AvriNeural|he-IL-HilaNeural,False,3,emotion_downgrade,train,data/he/ben_m_40-55_003/el_neg_b_0002_00.wav,data/he/ben_m_40-55_003/el_neg_b_0002_00.jsonl
el_neu_b_0001_00,elephant_in_the_room,NEU,B,116.894,BEN_M_40-55_003|SW_F_30-45_001,he-IL-AvriNeural|he-IL-HilaNeural,False,2,,train,data/he/ben_m_40-55_003/el_neu_b_0001_00.wav,data/he/ben_m_40-55_003/el_neu_b_0001_00.jsonl
el_neu_b_0002_00,elephant_in_the_room,NEU,B,79.6519375,BEN_M_40-55_003|SW_F_30-45_001,he-IL-AvriNeural|he-IL-HilaNeural,False,2,,train,data/he/ben_m_40-55_003/el_neu_b_0002_00.wav,data/he/ben_m_40-55_003/el_neu_b_0002_00.jsonl
el_sv_b_0001_00,elephant_in_the_room,SV,B,147.0308125,BEN_M_40-55_003|SW_F_30-45_001,he-IL-AvriNeural|he-IL-HilaNeural,True,5,emotion_downgrade,train,data/he/ben_m_40-55_003/el_sv_b_0001_00.wav,data/he/ben_m_40-55_003/el_sv_b_0001_00.jsonl
el_sv_b_0002_00,elephant_in_the_room,SV,B,138.453,BEN_M_40-55_003|SW_F_30-45_001,he-IL-AvriNeural|he-IL-HilaNeural,True,5,emotion_downgrade,train,data/he/ben_m_40-55_003/el_sv_b_0002_00.wav,data/he/ben_m_40-55_003/el_sv_b_0002_00.jsonl
